Resort Name,Nearest City,State/Province,Peak Elevation (ft),Base Elevation (ft),Vertical Drop (ft),Skiable Area (acres),Total Trails,Total Lifts,Average Annual Snowfall (inches)
Ski Bromont,Bromont,Quebec,1854,590,1264,450,141.0,9.0,190
Apex Mountain Resort,Penticton,British Columbia,7197,5197,2000,1112,79.0,4.0,236
Canyon Ski Area,Red Deer,Alberta,2950,2412,538,80,23.0,6.0,45
Fernie Alpine Resort,Fernie,British Columbia,7000,3450,3550,2500,142.0,10.0,360
Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,285,40.0,5.0,192
White Hills Ski Resort,Clarenville,Newfoundland and Labrador,1227,482,745,55,27.0,2.0,100
Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20.0,3.0,150
Shames Mountain,Terrace,British Columbia,3900,2300,1600,225,28.0,3.0,480
Castle Mountain Resort,Pincher Creek,Alberta,7463,4630,2833,3592,94.0,6.0,354
Bolton Valley,Waterbury,Vermont,3150,2100,1704,300,71.0,6.0,312
Ski Cooper,Leadville,Colorado,11700,10500,1200,470,60.0,5.0,260
Grand Targhee Resort,Alta,Wyoming,10121,7851,2270,2602,99.0,5.0,500
Stratton Mountain Resort,Winhall,Vermont,3875,1872,2003,670,99.0,11.0,171
Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260,1800,1200,60.0,8.0,396
Pomerelle Mountain Resort,Albion,Idaho,9000,8000,1000,500,24.0,2.0,500
Schweitzer,Sandpoint,Idaho,6400,4000,2400,2900,92.0,7.0,300
Brundage Mountain,McCall,Idaho,7803,5882,1921,1920,46.0,5.0,320
Bogus Basin,Boise,Idaho,7582,5800,1800,2600,78.0,7.0,200
Sun Valley,Sun Valley,Idaho,9150,5750,3400,2563,121.0,18.0,220
Panorama Mountain Resort,Invermere,British Columbia,7792,3773,4019,2847,120.0,10.0,196
Whitefish Mountain Resort,Kalispell,Montana,6817,4464,2353,3000,105.0,14.0,300
Arizona Snowbowl,Flagstaff,Arizona,11500,9200,2300,777,40.0,7.0,260
Telluride Ski Resort,Telluride,Colorado,13150,8725,4425,2000,147.0,18.0,309
Arapahoe Basin,Keystone,Colorado,13050,10520,2530,1428,147.0,9.0,350
Pajarito Mountain Ski Area,Los Alamos,New Mexico,10440,9000,1440,750,44.0,5.0,163
Taos Ski Valley,Taos,New Mexico,12481,9200,3281,1294,110.0,14.0,300
Ski Santa Fe,Santa Fe,New Mexico,12075,10350,1725,660,83.0,7.0,225
Big Sky Resort,Bozeman,Montana,11166,6800,4350,5850,320.0,40.0,400
Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311,4139,2500,133.0,15.0,459
Loveland Ski Area,Georgetown,Colorado,13010,10800,2210,1800,94.0,11.0,422
Revelstoke Mountain Resort,Revelstoke,British Columbia,7300,1680,5620,3121,75.0,5.0,413
Mount Ashland Ski Area,Ashland,Oregon,7533,6383,1150,220,23.0,5.0,265
Keystone Resort,Keystone,Colorado,12408,9280,3128,3149,139.0,20.0,235
Breckenridge Ski Resort,Breckenridge,Colorado,12998,9600,3398,2908,187.0,34.0,353
Palisades Tahoe,Truckee,California,9050,6200,2850,6000,277.0,39.0,450
Mammoth Mountain,Mammoth Lakes,California,11053,7953,3100,3500,150.0,28.0,420
Heavenly Mountain Resort,South Lake Tahoe,California,10067,7200,3500,4800,94.0,30.0,360
Mount Shasta Ski Park,Mount Shasta,California,9200,7800,1435,425,32.0,4.0,275
Boreal,Soda Springs,California,7700,7200,500,380,41.0,8.0,400
Donner Ski Ranch,Norden,California,7781,7031,750,435,52.0,8.0,400
Homewood,Homewood,California,7881,6223,1658,1260,60.0,7.0,400
Kirkwood,Kirkwood,California,9800,7800,2000,2300,86.0,15.0,500
Northstar California,Truckee,California,8610,6330,2280,2904,93.0,19.0,350
Sierra-at-Tahoe,Twin Bridges,California,8852,6640,2212,2000,46.0,12.0,480
Sugar Bowl,Norden,California,8383,6883,1500,1500,94.0,13.0,500
Soda Springs,Soda Springs,California,7325,6673,652,200,15.0,2.0,400
Tahoe Donner,Truckee,California,7350,6750,600,120,10.0,3.0,400
Badger Pass,Yosemite National Park,California,8000,7200,800,90,10.0,5.0,300
Bear Valley,Angels Camp,California,8500,6600,1900,1280,67.0,10.0,359
Dodge Ridge,Sonora,California,8200,6600,1600,832,62.0,12.0,300
June Mountain,June Lake,California,10090,7545,2590,500,35.0,7.0,250
China Peak,Lakeshore,California,8709,7030,1673,1200,45.0,11.0,300
Alta Sierra Archived 2019-09-23 at the Wayback Machine,Wofford Heights,California,7091,6491,600,,6.0,2.0,80
Buckhorn Ski and Snowboard Club,Three Points,California,7903,7203,680,40,5.0,2.0,180
Bear Mountain,Big Bear Lake,California,8805,7104,1665,198,24.0,12.0,100
Mount Baldy Ski Lifts,Mount Baldy,California,8600,6500,2100,800,26.0,4.0,170
Mount Waterman,Three Points,California,8030,7000,1030,150,27.0,3.0,180
Mountain High,Wrightwood,California,8200,6600,1600,290,59.0,13.0,132
Snow Summit,Big Bear Lake,California,8174,6965,1209,240,30.0,14.0,100
Snow Valley Mountain Resort,Running Springs,California,7841,6800,1041,240,29.0,12.0,150
Wolf Creek Ski Area,Pagosa Springs,Colorado,11904,10300,1604,1600,77.0,7.0,465
Kicking Horse Resort,Golden,British Columbia,8218,3900,4314,3486,120.0,3.0,295
Eldora Mountain Resort,Nederland,Colorado,10600,9400,1200,680,53.0,12.0,300
Alyeska Resort,Girdwood,Alaska,3939,250,2500,1400,73.0,9.0,643
Marmot Basin,Jasper,Alberta,8570,5570,3000,1675,86.0,8.0,160
Lake Louise Mountain Resort,Lake Louise,Alberta,8650,5400,3250,4200,139.0,9.0,180
Big White Ski Resort,Kelowna,British Columbia,7606,4950,2656,2800,119.0,16.0,294
Silver Star Mountain Resort,Vernon,British Columbia,6282,3789,2500,3269,132.0,12.0,275
Whistler Blackcomb,Whistler,British Columbia,7494,2140,5280,8171,200.0,26.0,404
Steamboat Springs,Steamboat Springs,Colorado,10568,6900,3668,3741,182.0,23.0,314
Copper Mountain (Colorado),Frisco,Colorado,12313,9712,2601,2450,126.0,22.0,282
Vail Ski Resort,Vail,Colorado,11570,8120,3450,5289,195.0,31.0,354
Beaver Creek,Avon,Colorado,11440,8100,3340,2082,167.0,24.0,323
Winter Park Resort,Winter Park,Colorado,12060,9000,3060,3081,171.0,28.0,344
Saddleback Maine,Farmington,Maine,4120,2120,2000,600,68.0,6.0,225
Boyne Mountain,Boyne City,Michigan,"1,152 ft (351 m)",719 ft (219 m),433 ft (132 m),175,60.0,10.0,140
Mountain Creek,Vernon Township,New Jersey,1480,440,1040,200,41.0,8.0,65
Blue Mountain,Collingwood,Ontario,1498,756,742,250,34.0,15.0,109
Mt Bachelor,Bend,Oregon,9065,5700,3365,4318,101.0,11.0,462
Mount Hood Meadows,Portland,Oregon,7300,4523,2777,2150,85.0,11.0,430
Mont-Sainte-Anne,Beaupré,Quebec,2625,575,2050,450,65.0,13.0,187
Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750,2120,627,95.0,14.0,156
Le Massif,Petite-Rivière-Saint-François,Quebec,2645,118,2527,410,48.0,4.0,248
Brian Head,Brian Head,Utah,11307,9600,1548,650,14.0,8.0,370
Park City Mountain Resort,Park City,Utah,10000,6900,3100,7300,348.0,43.0,360
Deer Valley,Park City,Utah,9570,6530,3040,4300,202.0,36.0,280
Brighton Ski Resort,Salt Lake City,Utah,10500,8755,1745,1050,66.0,6.0,500
Alta Ski Area,Salt Lake City,Utah,11068,8530,2538,2614,119.0,10.0,546
Snowbird,Salt Lake City,Utah,10992,7760,3240,2500,85.0,13.0,500
Smugglers' Notch,Jeffersonville,Vermont,3640,1030,2610,1000,78.0,16.0,288
Windham Mountain,Windham,New York,3100,1500,1600,279,52.0,12.0,100
Hunter Mountain,Hunter,New York,3200,1600,1600,240,58.0,10.0,120
Killington Ski Resort,Killington,Vermont,4241,1165,3050,1509,155.0,21.0,250
Okemo Mountain,Ludlow,Vermont,3344,1144,2200,632,119.0,19.0,200
Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116.0,13.0,333
Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111.0,16.0,269
Sugarloaf,Carrabassett Valley,Maine,4237,1417,2820,1360,154.0,14.0,200
Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60.0,14.0,180
Banff Sunshine,Banff,Alberta,8954,5440,3514,3358,107.0,12.0,360
Mt. Norquay,Banff,Alberta,8040,5500,1650,190,28.0,5.0,120
Grouse Mountain,North Vancouver,British Columbia,4039,899,1198,212,26.0,5.0,120
Mount Seymour,North Vancouver,British Columbia,4150,935,1083,200,23.0,5.0,394
Cypress Mountain,West Vancouver,British Columbia,4724,2985,2001,600,53.0,6.0,245
Stevens Pass,Stevens Pass,Washington,5845,4061,1800,1125,37.0,10.0,450
Sun Peaks Resort,Kamloops,British Columbia,6824,3930,2894,4270,135.0,12.0,237
Crystal Mountain,Enumclaw,Washington,7012,3912,3100,2600,57.0,12.0,350
Red Mountain Resort,Rossland,British Columbia,6807,3887,2919,4200,110.0,7.0,300
Mt Baker,Glacier,Washington,5089,3500,1589,1000,31.0,10.0,641
Whiteface Mountain,Lake Placid,New York,4650,1220,3430,314,87.0,11.0,168
Powder Mountain,Eden,Utah,"9,422",6900,2205,"8,464",167.0,9.0,500
Sugar Mountain Resort,Banner Elk,North Carolina,5300,4100,1200,120,21.0,8.0,77
Beech Mountain Resort,Beech Mountain,North Carolina,5506,4675,831,95,17.0,8.0,84
Appalachian Ski Mountain,Blowing Rock,North Carolina,4000,3635,365,27,12.0,5.0,27
Cataloochee Ski Area,Maggie Valley,North Carolina,5400,4660,740,50,18.0,5.0,24
Sapphire Valley Ski Area,Sapphire,North Carolina,3400,3200,200,8,3.0,3.0,24
Wolf Ridge Ski Resort,Mars Hill,North Carolina,4700,4000,700,65,15.0,4.0,65
Aspen Highlands,Aspen,Colorado,11675,8040,3635,1024,118.0,5.0,300
Aspen Mountain,Aspen,Colorado,11212,7945,3267,828,104.0,9.0,300
Buttermilk,Aspen,Colorado,9900,7870,2030,454,43.0,5.0,200
Snowmass,Aspen,Colorado,12510,8110,4400,3342,98.0,20.0,300
Lee Canyon (Ski and Snowboard Resort),Las Vegas,Nevada,11289,8510,860,385,27.0,3.0,161
Terry Peak,Lead,South Dakota,7064,5930,1134,450,30.0,4.0,150
Mount Snow,Dover,Vermont,3600,1900,1700,600,86.0,20.0,156
Wintergreen,Charlottesville,Virginia,3515,2512,1003,129,26.0,5.0,35
Angel Fire Resort,Angel Fire,New Mexico,10677,8600,2077,560,80.0,7.0,210
Bridger Bowl,Bozeman,Montana,8700,6100,2600,2000,75.0,11.0,350
Turner Mountain,Libby,Montana,5952,3842,2110,1000,22.0,1.0,200
Discovery,Anaconda,Montana,8158,5770,2388,2200,67.0,8.0,150
Great Divide,Helena,Montana,7210,5880,1330,1500,140.0,6.0,180
Showdown,Great Falls,Montana,8200,6800,1400,640,36.0,4.0,240
Maverick Mountain,Dillon,Montana,8820,6800,2020,350,24.0,2.0,200
Lost Trail Powder Mountain,Hamilton,Montana,8200,6400,1800,1800,60.0,8.0,325
Blacktail Mountain,Kalispell,Montana,6780,5340,1440,1000,26.0,4.0,250
Bear Paw Ski Bowl,Havre,Montana,5280,4200,1080,80,11.0,2.0,140
Red Lodge Mountain,Red Lodge,Montana,9416,7016,2400,1635,70.0,7.0,250
Montana Snowbowl,Missoula,Montana,7600,5000,2600,950,39.0,4.0,300
Teton Pass,Choteau,Montana,7200,6190,1010,114,26.0,2.0,250
White Pass,Yakima,Washington,6500,4500,2000,1400,45.0,8.0,350
49 Degrees North,Spokane,Washington,5774,3923,1851,2325,82.0,6.0,300
Hurricane Ridge,Port Angeles,Washington,5500,4800,700,,10.0,3.0,400
The Summit at Snoqualmie,North Bend,Washington,5420,2610,2280,1914,62.0,27.0,435
Ski Bluewood,Dayton,Washington,5670,4454,1216,530,24.0,3.0,300
Mount Spokane,Spokane,Washington,5889,3818,2071,1704,52.0,8.0,300
Mission Ridge,Wenatchee,Washington,6820,4570,2250,2000,36.0,6.0,200
Loup Loup Ski Bowl,Twisp,Washington,5280,4040,1240,550,10.0,3.0,150
Badger Mountain,Waterville,Washington,3470,3145,325,10,5.0,3.0,120
Mount Eyak,Cordova,Alaska,1200,400,800,100,10.0,2.0,350
Moose Mountain,Fairbanks,Alaska,1985,685,1300,200,40.0,0.0,70
Eaglecrest,Juneau,Alaska,2750,1130,1620,640,34.0,4.0,350
Hilltop,Anchorage,Alaska,780,486,294,30,13.0,3.0,69
Arctic Valley,Anchorage,Alaska,4000,2500,1500,320,24.0,3.0,250
White Pine,Pinedale,Wyoming,9500,8450,1050,350,27.0,2.0,150
Snowy Range,Centennial,Wyoming,9663,8798,865,250,27.0,5.0,245
Snow King,Jackson,Wyoming,7808,6237,1571,400,32.0,5.0,175
Pine Creek,Cokeville,Wyoming,8200,6875,1325,370,30.0,2.0,150
Hogadon,Casper,Wyoming,8000,7370,630,60,27.0,2.0,140
Sleeping Giant,Cody,Wyoming,7428,6619,810,184,49.0,3.0,310
Elko Snobowl,Elko,Nevada,6988,6338,650,60,10.0,2.0,24
Diamond Peak,Incline Village,Nevada,8540,6700,1840,655,30.0,6.0,225
Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352,178,220,14.0,4.0,150
Huff Hills,Mandan,North Dakota,2150,1725,425,,21.0,3.0,40
Bottineau Winter Park,Bottineau,North Dakota,2450,2270,180,40,8.0,6.0,13
Elk Ridge,Williams,Arizona,8150,7500,650,37,10.0,2.0,150
Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200,957,200,21.0,3.0,180
Sunrise Park,Greer,Arizona,11100,9200,1900,800,65.0,9.0,250
Sandia Peak,Albuquerque,New Mexico,10378,8678,1700,200,39.0,5.0,100
Ski Apache,Ruidoso,New Mexico,11500,9600,1900,750,55.0,8.0,185
Sipapu,Taos,New Mexico,9225,8200,1055,200,41.0,6.0,190
Red River,Red River,New Mexico,10350,8750,1600,209,64.0,7.0,214
Kelly Canyon,Idaho Falls,Idaho,6600,5600,1000,640,26.0,5.0,200
Pebble Creek,Pocatello,Idaho,8560,6360,2200,1100,54.0,3.0,250
Magic Mountain,Twin Falls,Idaho,7240,6540,700,120,11.0,4.0,230
Snowhaven,Grangeville,Idaho,5600,5200,400,40,9.0,2.0,60
Tamarack,Boise,Idaho,7660,4900,2760,1100,45.0,6.0,300
Cottonwood Butte,Cottonwood,Idaho,5730,4885,845,260,7.0,2.0,45
Bald Mountain,Pierce,Idaho,4800,4000,800,140,16.0,2.0,100
Silver Mountain,Coeur d'Alene,Idaho,6297,4100,2197,1600,67.0,8.0,300
Mohawk Mountain,Cornwall,Connecticut,1600,960,640,107,25.0,8.0,24
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19.0,7.0,60
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16.0,5.0,45
Mount Southington,Waterbury,Connecticut,525,100,425,51,14.0,7.0,80
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14.0,3.0,39
Hidden Valley,Wildwood,Missouri,860,540,320,65,17.0,9.0,19
Snow Creek,Weston,Missouri,1099,799,300,25,12.0,5.0,20
Ober Gatlinburg,Gatlinburg,Tennessee,3300,2700,600,38,10.0,4.0,9
Paoli Peaks,Paoli,Indiana,900,600,300,65,17.0,8.0,18
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23.0,11.0,23
Alpine Valley,Chesterland,Ohio,1500,1260,240,72,11.0,5.0,120
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18.0,16.0,54
Mad River,Bellafontaine,Ohio,1460,1160,300,144,23.0,12.0,36
Snow Trails,Mansfield,Ohio,1475,1175,300,80,17.0,7.0,52
Big Creek,Concord,Ohio,1466,1292,174,23,5.0,2.0,102
Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34.0,12.0,100
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12.0,5.0,45
Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46.0,9.0,65
Cockaigne Resort,Cherry Creek,New York,2022,1592,430,100,11.0,3.0,175
Big Rock,Presque Isle,Maine,1590,670,920,60,27.0,3.0,100
Big Moose Mountain,Greenville,Maine,2920,1300,1620,1216,33.0,2.0,136
Mount Jefferson,Lee,Maine,775,343,432,160,13.0,2.0,75
New Hermon Mountain,Bangor,Maine,450,150,300,70,20.0,3.0,90
Camden Snow Bowl,Camden,Maine,1080,235,845,100,17.0,3.0,50
Lost Valley,Lewiston,Maine,480,240,240,45,27.0,4.0,99
Pleasant Mountain,Bridgton,Maine,1900,600,1300,245,44.0,6.0,110
